question_id,question,cohort,category,run_index,status,probability,confidence,tier,brier_score,agent_version,evidence_count,vaults_used,session_id,dispatched_at,completed_at,error
3baf98c0-3efa-4c51-a3c4-128c80a9cbfc,"US-Iran Final Nuclear Deal by August 18, 2026?",7d,geopolitical,0,completed,0.5,0.1,tier_2,,0.5.0-sprint26,0,,cal_5987f918e0d2,2026-08-17 21:38:52.178335+00:00,2026-08-17 21:41:45.657134+00:00,
c186abbf-05f5-4c4c-8ea9-9f497a0afb7c,Will James Fishback be the Republican nominee for Florida Governor?,7d,geopolitical,0,completed,0.3,0.2,tier_2,,0.5.0-sprint26,0,,cal_207d5e9eb8bf,2026-08-17 21:38:52.101305+00:00,2026-08-17 21:41:45.459303+00:00,
f6b7d2bb-f9bc-4dd4-918c-2ee68405df14,Will Treg Taylor advance from the 2026 Alaska Governor primary election?,7d,geopolitical,0,completed,0.5,0.1,tier_2,,0.5.0-sprint26,0,,cal_271a344e8710,2026-08-17 21:38:52.101535+00:00,2026-08-17 21:41:45.599054+00:00,
cf8d0ff0-b7ab-45d3-a8d7-8ec725973fe2,Will Michael Carbonara be the FL-22 Republican nominee?,7d,geopolitical,0,completed,0.5,0.1,tier_2,,0.5.0-sprint26,0,,cal_5d92ddcef8f4,2026-08-17 21:38:52.062544+00:00,2026-08-17 21:40:57.289323+00:00,
997923df-b158-41ac-a5d6-cb4dde9dea7c,Will Click Bishop advance from the 2026 Alaska Governor primary election?,7d,geopolitical,0,completed,0.5,0.1,tier_2,,0.5.0-sprint26,0,,cal_129af1fb8d13,2026-08-17 21:38:52.006167+00:00,2026-08-17 21:40:57.236668+00:00,
5b670109-775b-46d8-9358-124d87d6c385,Will James Fishback win less than 10% of votes in the Florida Republican Governor primary?,7d,geopolitical,0,completed,0.5,0.1,tier_2,,0.5.0-sprint26,0,,cal_e1bf0eda5536,2026-08-17 21:38:52.003764+00:00,2026-08-17 21:40:57.116692+00:00,
11a45ec9-c135-41e6-92a2-c446355d6987,Will Bernard Taylor be the FL-21 Democratic nominee?,7d,geopolitical,0,completed,0.5,0.1,tier_2,,0.5.0-sprint26,0,,cal_7acc3d9b982e,2026-08-17 21:38:51.969922+00:00,2026-08-17 21:40:09.308860+00:00,
25f29762-5eed-49ae-8889-0c7c7ea4010a,Will Loranne Ausley win the Tallahassee mayoral election?,7d,geopolitical,0,failed,,,,,,,,cal_3ffbd762ccb0,2026-08-17 21:20:39.612956+00:00,2026-08-17 21:37:16.833647+00:00,NoBrokersAvailable
25f29762-5eed-49ae-8889-0c7c7ea4010a,Will Loranne Ausley win the Tallahassee mayoral election?,7d,geopolitical,1,completed,0.5,0.1,tier_2,,0.5.0-sprint26,0,,cal_d5f8356cff0e,2026-08-17 21:37:19.717664+00:00,2026-08-17 21:38:11.092836+00:00,
4738a216-59c6-4f96-8e21-0d479c25318b,Will Yen Bailey be the FL-02 Democratic nominee?,7d,geopolitical,0,completed,0.5,0.1,tier_2,,0.5.0-sprint26,0,,cal_cf0349da33cd,2026-08-17 21:38:51.943823+00:00,2026-08-17 21:40:09.254151+00:00,
dfd384fc-47dd-488e-85de-d0c143fabcd8,Will Mike Beltran be the FL-14 Republican nominee?,7d,geopolitical,0,completed,0.5,0.1,tier_2,,0.5.0-sprint26,0,,cal_366780c00d78,2026-08-17 21:38:51.886470+00:00,2026-08-17 21:40:09.149597+00:00,
158e67b3-2565-4b3d-9e1f-792a8b6e0ded,Will Chuck Gray be the WY-AL Republican nominee?,7d,geopolitical,0,completed,0.5,0.1,tier_2,,0.5.0-sprint26,0,,cal_93431df1098b,2026-08-17 21:38:51.911230+00:00,2026-08-17 21:40:09.202370+00:00,
a1d1ac34-dabe-4ab7-b5d8-e57e1912a3ac,Will Eric Barlow win the 2026 Wyoming Governor Republican primary election?,7d,geopolitical,0,completed,0.5,0.1,tier_2,,0.5.0-sprint26,0,,cal_35396ada407a,2026-08-17 21:38:51.877426+00:00,2026-08-17 21:40:09.088529+00:00,
71ac17aa-0b16-46a2-be7f-67ac11d6d8bb,Will Catalina Lauf be the Republican nominee for FL-19?,7d,geopolitical,0,completed,0.5,0.1,tier_2,,0.5.0-sprint26,0,,cal_fb2c70005c4c,2026-08-17 21:38:51.773289+00:00,2026-08-17 21:40:08.952414+00:00,
ff14e933-ad40-4bc2-b8dd-47f96fd5b920,Will Alexander Vindman be the Democratic nominee for Senate in Florida?,7d,geopolitical,0,completed,0.2,0.1,tier_2,,0.5.0-sprint26,0,,cal_5fbf04829032,2026-08-17 21:38:51.805433+00:00,2026-08-17 21:40:09.018727+00:00,
334ad8a2-6cc7-49cb-999a-0179701e1985,Will Byron Donalds be the Republican nominee for Florida Governor?,7d,geopolitical,0,completed,0.5,0.1,tier_2,,0.5.0-sprint26,0,,cal_41d7c84ee6ef,2026-08-17 21:38:51.741414+00:00,2026-08-17 21:40:08.819067+00:00,
59b3c16e-bab6-4c9e-81d6-da42b0c79dc8,"US-Iran Final Nuclear Deal by August 31, 2026?",30-45d,geopolitical,0,completed,0.3,0.4,tier_2,,0.5.0-sprint26+55e8093,15,knowledge,cal_5eb7b1b21d3b,2026-07-29 17:52:17.424148+00:00,2026-07-29 17:53:57.670083+00:00,
